Birleşik Belirtiler;Triyaj Cevap
yanlışlıkla evdeki temizlik ürünlerinden içtim ayrıca biraz halsizim;🔴 ACİL DURUM: Kimyasal zehirlenme! Kendinizi asla kusturmaya çalışmayın ve vakit kaybetmeden acil servise başvurun.
yüzümde ani bir kayma oldu ve konuşamıyorum ve başım dönüyor;🔴 ACİL DURUM: İnme (felç) şüphesi! İlk müdahale dakikalar içinde yapılmalıdır. Lütfen hemen 112 acil yardımı çağırın.
iyiyim şu an hiçbir sağlık şikayetim yok;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
fışkırır tarzda durdurulamayan bir kanamam var;🔴 ACİL DURUM: Şiddetli damar kanaması! Temiz bir bezle yaranın üzerine sertçe bastırın ve derhal en yakın acil servise gidin.
vücudumda hafif kaşıntı ve kızarıklıklar var;🟢 DÜŞÜK RİSK: Hafif bir alerjik reaksiyon olabilir. Yakın zamanda yediğiniz gıdaları kontrol edin, yayılma olursa Cildiye uzmanına görünün.
şu an bir sorunum yok her şey yolunda gidiyor şikayetim var;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
yüzümde ani bir kayma oldu ve konuşamıyorum ayrıca biraz halsizim;🔴 ACİL DURUM: İnme (felç) şüphesi! İlk müdahale dakikalar içinde yapılmalıdır. Lütfen hemen 112 acil yardımı çağırın.
fışkırır tarzda durdurulamayan bir kanamam var;🔴 ACİL DURUM: Şiddetli damar kanaması! Temiz bir bezle yaranın üzerine sertçe bastırın ve derhal en yakın acil servise gidin.
göğsümde sıkışma ve şiddetli ağrı var nefes alamıyorum ayrıca biraz halsizim;🔴 ACİL DURUM: Kalp krizi riski yüksek! Hareket etmeyi bırakın, derin nefes almaya çalışın ve derhal 112'yi arayın. En yakın acil servise nakliniz hayati önem taşımaktadır.
vücudumda hafif kaşıntı ve kızarıklıklar var ayrıca biraz halsizim;🟢 DÜŞÜK RİSK: Hafif bir alerjik reaksiyon olabilir. Yakın zamanda yediğiniz gıdaları kontrol edin, yayılma olursa Cildiye uzmanına görünün.
kendimi gayet enerjik ve sağlıklı hissediyorum ayrıca biraz halsizim;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
iyiyim şu an hiçbir sağlık şikayetim yok durumu yaşıyorum;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
karnımın sağ alt tarafı çok şiddetli ağrıyor ve başım dönüyor;🟡 ORTA RİSK: Apandisit şüphesi olabilir. Durumun netleşmesi için Genel Cerrahi bölümüne muayene olmanız ve ultrason çektirmeniz önerilir.
yüzümde ani bir kayma oldu ve konuşamıyorum şikayetim var;🔴 ACİL DURUM: İnme (felç) şüphesi! İlk müdahale dakikalar içinde yapılmalıdır. Lütfen hemen 112 acil yardımı çağırın.
fışkırır tarzda durdurulamayan bir kanamam var şikayetim var;🔴 ACİL DURUM: Şiddetli damar kanaması! Temiz bir bezle yaranın üzerine sertçe bastırın ve derhal en yakın acil servise gidin.
iyiyim şu an hiçbir sağlık şikayetim yok ve midem bulanıyor;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
sol kolum uyuşuyor ve kalbim çok sıkışıyor şikayetim var;🔴 ACİL DURUM: Kardiyak bir kriz belirtisidir. Vakit kaybetmeden bir yakınınızdan yardım isteyin ve en yakın hastanenin acil servisine başvurun.
yüzümde ani bir kayma oldu ve konuşamıyorum durumu yaşıyorum;🔴 ACİL DURUM: İnme (felç) şüphesi! İlk müdahale dakikalar içinde yapılmalıdır. Lütfen hemen 112 acil yardımı çağırın.
kulağımdan iltihap geliyor ve iç tarafı çok ağrıyor ve midem bulanıyor;🟡 ORTA RİSK: Orta kulak iltihabı (Otis) olabilir. İşitme kaybı riskine karşı KBB uzmanına muayene olmanız gerekir.
hafif bir baş ağrım var sanırım uykusuz kaldım şikayetim var;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
yanlışlıkla evdeki temizlik ürünlerinden içtim şikayetim var;🔴 ACİL DURUM: Kimyasal zehirlenme! Kendinizi asla kusturmaya çalışmayın ve vakit kaybetmeden acil servise başvurun.
göğsümde sıkışma ve şiddetli ağrı var nefes alamıyorum şikayetim var;🔴 ACİL DURUM: Kalp krizi riski yüksek! Hareket etmeyi bırakın, derin nefes almaya çalışın ve derhal 112'yi arayın. En yakın acil servise nakliniz hayati önem taşımaktadır.
kulağımdan iltihap geliyor ve iç tarafı çok ağrıyor şikayetim var;🟡 ORTA RİSK: Orta kulak iltihabı (Otis) olabilir. İşitme kaybı riskine karşı KBB uzmanına muayene olmanız gerekir.
idrarım çok koyulaştı ve göz aklarım sarardı;🟡 ORTA RİSK: Karaciğer veya safra yollarında bir tıkanıklık olabilir. Dahiliye (İç Hastalıkları) uzmanına görünmeniz gerekmektedir.
burnum akıyor hapşırıyorum ve biraz halsizim;🟢 DÜŞÜK RİSK: Mevsimsel nezle veya viral bir durum. Bol sıvı tüketin, C vitamini alın ve istirahat edin. Belirtiler şiddetlenirse aile hekimine danışın.
hafif bir baş ağrım var sanırım uykusuz kaldım ve midem bulanıyor;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
karnımın sağ alt tarafı çok şiddetli ağrıyor ve başım dönüyor;🟡 ORTA RİSK: Apandisit şüphesi olabilir. Durumun netleşmesi için Genel Cerrahi bölümüne muayene olmanız ve ultrason çektirmeniz önerilir.
yanlışlıkla evdeki temizlik ürünlerinden içtim durumu yaşıyorum;🔴 ACİL DURUM: Kimyasal zehirlenme! Kendinizi asla kusturmaya çalışmayın ve vakit kaybetmeden acil servise başvurun.
karnımın sağ alt tarafı çok şiddetli ağrıyor ayrıca biraz halsizim;🟡 ORTA RİSK: Apandisit şüphesi olabilir. Durumun netleşmesi için Genel Cerrahi bölümüne muayene olmanız ve ultrason çektirmeniz önerilir.
iyiyim şu an hiçbir sağlık şikayetim yok;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
kulağımdan iltihap geliyor ve iç tarafı çok ağrıyor durumu yaşıyorum;🟡 ORTA RİSK: Orta kulak iltihabı (Otis) olabilir. İşitme kaybı riskine karşı KBB uzmanına muayene olmanız gerekir.
yanlışlıkla evdeki temizlik ürünlerinden içtim durumu yaşıyorum;🔴 ACİL DURUM: Kimyasal zehirlenme! Kendinizi asla kusturmaya çalışmayın ve vakit kaybetmeden acil servise başvurun.
yüzümde ani bir kayma oldu ve konuşamıyorum;🔴 ACİL DURUM: İnme (felç) şüphesi! İlk müdahale dakikalar içinde yapılmalıdır. Lütfen hemen 112 acil yardımı çağırın.
karnımın sağ alt tarafı çok şiddetli ağrıyor durumu yaşıyorum;🟡 ORTA RİSK: Apandisit şüphesi olabilir. Durumun netleşmesi için Genel Cerrahi bölümüne muayene olmanız ve ultrason çektirmeniz önerilir.
günlerdir geçmeyen şiddetli baş ağrısı ve kusma var ayrıca biraz halsizim;🟡 ORTA RİSK: Tansiyon yüksekliği veya nörolojik bir durum olabilir. Nöroloji bölümünden randevu almanız önerilir.
fışkırır tarzda durdurulamayan bir kanamam var;🔴 ACİL DURUM: Şiddetli damar kanaması! Temiz bir bezle yaranın üzerine sertçe bastırın ve derhal en yakın acil servise gidin.
kulağımdan iltihap geliyor ve iç tarafı çok ağrıyor;🟡 ORTA RİSK: Orta kulak iltihabı (Otis) olabilir. İşitme kaybı riskine karşı KBB uzmanına muayene olmanız gerekir.
fışkırır tarzda durdurulamayan bir kanamam var durumu yaşıyorum;🔴 ACİL DURUM: Şiddetli damar kanaması! Temiz bir bezle yaranın üzerine sertçe bastırın ve derhal en yakın acil servise gidin.
yanlışlıkla evdeki temizlik ürünlerinden içtim ve başım dönüyor;🔴 ACİL DURUM: Kimyasal zehirlenme! Kendinizi asla kusturmaya çalışmayın ve vakit kaybetmeden acil servise başvurun.
boğazım hafif yanıyor ve kuru öksürüğüm var ayrıca biraz halsizim;🟢 DÜŞÜK RİSK: Farenjit veya boğaz tahrişi başlangıcı. Adaçayı ve ılık içecekler tüketin, boğazınızı sıcak tutun ve dinlenin.
sol kolum uyuşuyor ve kalbim çok sıkışıyor durumu yaşıyorum;🔴 ACİL DURUM: Kardiyak bir kriz belirtisidir. Vakit kaybetmeden bir yakınınızdan yardım isteyin ve en yakın hastanenin acil servisine başvurun.
kendimi gayet enerjik ve sağlıklı hissediyorum ve midem bulanıyor;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
kendimi gayet enerjik ve sağlıklı hissediyorum durumu yaşıyorum;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
göğsümde sıkışma ve şiddetli ağrı var nefes alamıyorum;🔴 ACİL DURUM: Kalp krizi riski yüksek! Hareket etmeyi bırakın, derin nefes almaya çalışın ve derhal 112'yi arayın. En yakın acil servise nakliniz hayati önem taşımaktadır.
şu an bir sorunum yok her şey yolunda gidiyor ve başım dönüyor;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
boğazım hafif yanıyor ve kuru öksürüğüm var şikayetim var;🟢 DÜŞÜK RİSK: Farenjit veya boğaz tahrişi başlangıcı. Adaçayı ve ılık içecekler tüketin, boğazınızı sıcak tutun ve dinlenin.
şu an bir sorunum yok her şey yolunda gidiyor şikayetim var;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
idrarım çok koyulaştı ve göz aklarım sarardı ve başım dönüyor;🟡 ORTA RİSK: Karaciğer veya safra yollarında bir tıkanıklık olabilir. Dahiliye (İç Hastalıkları) uzmanına görünmeniz gerekmektedir.
hafif bir baş ağrım var sanırım uykusuz kaldım durumu yaşıyorum;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
idrar yaparken çok şiddetli yanma ve sancı var;🟡 ORTA RİSK: İdrar yolu enfeksiyonu belirtisidir. Bir Üroloji uzmanına görünerek idrar tahlili yaptırmanız ve uygun tedaviye başlamanız önerilir.
şu an bir sorunum yok her şey yolunda gidiyor şikayetim var;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
boğazım hafif yanıyor ve kuru öksürüğüm var şikayetim var;🟢 DÜŞÜK RİSK: Farenjit veya boğaz tahrişi başlangıcı. Adaçayı ve ılık içecekler tüketin, boğazınızı sıcak tutun ve dinlenin.
hafif bir baş ağrım var sanırım uykusuz kaldım ayrıca biraz halsizim;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
boğazım hafif yanıyor ve kuru öksürüğüm var şikayetim var;🟢 DÜŞÜK RİSK: Farenjit veya boğaz tahrişi başlangıcı. Adaçayı ve ılık içecekler tüketin, boğazınızı sıcak tutun ve dinlenin.
kendimi gayet enerjik ve sağlıklı hissediyorum ve başım dönüyor;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
yüzümde ani bir kayma oldu ve konuşamıyorum ve başım dönüyor;🔴 ACİL DURUM: İnme (felç) şüphesi! İlk müdahale dakikalar içinde yapılmalıdır. Lütfen hemen 112 acil yardımı çağırın.
dün ağır spor yaptım bugün her yerim sızlıyor ve başım dönüyor;🟢 DÜŞÜK RİSK: Yoğun egzersiz sonrası kas yorgunluğu. Magnezyum desteği alabilir, ılık bir duş sonrası dinlenebilirsiniz.
hafif bir baş ağrım var sanırım uykusuz kaldım ve başım dönüyor;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
burnum akıyor hapşırıyorum ve biraz halsizim;🟢 DÜŞÜK RİSK: Mevsimsel nezle veya viral bir durum. Bol sıvı tüketin, C vitamini alın ve istirahat edin. Belirtiler şiddetlenirse aile hekimine danışın.
iyiyim şu an hiçbir sağlık şikayetim yok ve başım dönüyor;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
idrarım çok koyulaştı ve göz aklarım sarardı ve midem bulanıyor;🟡 ORTA RİSK: Karaciğer veya safra yollarında bir tıkanıklık olabilir. Dahiliye (İç Hastalıkları) uzmanına görünmeniz gerekmektedir.
günlerdir geçmeyen şiddetli baş ağrısı ve kusma var ayrıca biraz halsizim;🟡 ORTA RİSK: Tansiyon yüksekliği veya nörolojik bir durum olabilir. Nöroloji bölümünden randevu almanız önerilir.
idrarım çok koyulaştı ve göz aklarım sarardı durumu yaşıyorum;🟡 ORTA RİSK: Karaciğer veya safra yollarında bir tıkanıklık olabilir. Dahiliye (İç Hastalıkları) uzmanına görünmeniz gerekmektedir.
hafif bir baş ağrım var sanırım uykusuz kaldım şikayetim var;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
dün ağır spor yaptım bugün her yerim sızlıyor;🟢 DÜŞÜK RİSK: Yoğun egzersiz sonrası kas yorgunluğu. Magnezyum desteği alabilir, ılık bir duş sonrası dinlenebilirsiniz.
şu an bir sorunum yok her şey yolunda gidiyor ve başım dönüyor;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
idrar yaparken çok şiddetli yanma ve sancı var ve başım dönüyor;🟡 ORTA RİSK: İdrar yolu enfeksiyonu belirtisidir. Bir Üroloji uzmanına görünerek idrar tahlili yaptırmanız ve uygun tedaviye başlamanız önerilir.
hafif bir baş ağrım var sanırım uykusuz kaldım;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
kulağımdan iltihap geliyor ve iç tarafı çok ağrıyor ayrıca biraz halsizim;🟡 ORTA RİSK: Orta kulak iltihabı (Otis) olabilir. İşitme kaybı riskine karşı KBB uzmanına muayene olmanız gerekir.
günlerdir geçmeyen şiddetli baş ağrısı ve kusma var ve midem bulanıyor;🟡 ORTA RİSK: Tansiyon yüksekliği veya nörolojik bir durum olabilir. Nöroloji bölümünden randevu almanız önerilir.
idrar yaparken çok şiddetli yanma ve sancı var ve midem bulanıyor;🟡 ORTA RİSK: İdrar yolu enfeksiyonu belirtisidir. Bir Üroloji uzmanına görünerek idrar tahlili yaptırmanız ve uygun tedaviye başlamanız önerilir.
kulağımdan iltihap geliyor ve iç tarafı çok ağrıyor durumu yaşıyorum;🟡 ORTA RİSK: Orta kulak iltihabı (Otis) olabilir. İşitme kaybı riskine karşı KBB uzmanına muayene olmanız gerekir.
iyiyim şu an hiçbir sağlık şikayetim yok şikayetim var;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
idrarım çok koyulaştı ve göz aklarım sarardı ve başım dönüyor;🟡 ORTA RİSK: Karaciğer veya safra yollarında bir tıkanıklık olabilir. Dahiliye (İç Hastalıkları) uzmanına görünmeniz gerekmektedir.
idrarım çok koyulaştı ve göz aklarım sarardı ve başım dönüyor;🟡 ORTA RİSK: Karaciğer veya safra yollarında bir tıkanıklık olabilir. Dahiliye (İç Hastalıkları) uzmanına görünmeniz gerekmektedir.
dizimin üzerine düştüm çok şişti ve basamıyorum ve başım dönüyor;🟡 ORTA RİSK: Dizde kırık, çatlak veya bağ kopması olabilir. Ortopedi ve Travmatoloji bölümüne başvurarak röntgen çektirmeniz uygun olacaktır.
göğsümde sıkışma ve şiddetli ağrı var nefes alamıyorum ve midem bulanıyor;🔴 ACİL DURUM: Kalp krizi riski yüksek! Hareket etmeyi bırakın, derin nefes almaya çalışın ve derhal 112'yi arayın. En yakın acil servise nakliniz hayati önem taşımaktadır.
günlerdir geçmeyen şiddetli baş ağrısı ve kusma var şikayetim var;🟡 ORTA RİSK: Tansiyon yüksekliği veya nörolojik bir durum olabilir. Nöroloji bölümünden randevu almanız önerilir.
bilincim bulanık nerede olduğumu hatırlayamıyorum ayrıca biraz halsizim;🔴 ACİL DURUM: Akut bilinç bulanıklığı. Ciddi bir nörolojik veya metabolik sorun olabilir. Acilen tıbbi yardım almanız gerekmektedir.
iyiyim şu an hiçbir sağlık şikayetim yok durumu yaşıyorum;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
burnum akıyor hapşırıyorum ve biraz halsizim şikayetim var;🟢 DÜŞÜK RİSK: Mevsimsel nezle veya viral bir durum. Bol sıvı tüketin, C vitamini alın ve istirahat edin. Belirtiler şiddetlenirse aile hekimine danışın.
yüzümde ani bir kayma oldu ve konuşamıyorum durumu yaşıyorum;🔴 ACİL DURUM: İnme (felç) şüphesi! İlk müdahale dakikalar içinde yapılmalıdır. Lütfen hemen 112 acil yardımı çağırın.
idrar yaparken çok şiddetli yanma ve sancı var durumu yaşıyorum;🟡 ORTA RİSK: İdrar yolu enfeksiyonu belirtisidir. Bir Üroloji uzmanına görünerek idrar tahlili yaptırmanız ve uygun tedaviye başlamanız önerilir.
boğazım hafif yanıyor ve kuru öksürüğüm var durumu yaşıyorum;🟢 DÜŞÜK RİSK: Farenjit veya boğaz tahrişi başlangıcı. Adaçayı ve ılık içecekler tüketin, boğazınızı sıcak tutun ve dinlenin.
dün ağır spor yaptım bugün her yerim sızlıyor;🟢 DÜŞÜK RİSK: Yoğun egzersiz sonrası kas yorgunluğu. Magnezyum desteği alabilir, ılık bir duş sonrası dinlenebilirsiniz.
yanlışlıkla evdeki temizlik ürünlerinden içtim şikayetim var;🔴 ACİL DURUM: Kimyasal zehirlenme! Kendinizi asla kusturmaya çalışmayın ve vakit kaybetmeden acil servise başvurun.
yüzümde ani bir kayma oldu ve konuşamıyorum şikayetim var;🔴 ACİL DURUM: İnme (felç) şüphesi! İlk müdahale dakikalar içinde yapılmalıdır. Lütfen hemen 112 acil yardımı çağırın.
